host,host_label,server_version,model,quant,kv_mode_requested,kv_mode_resolved,kv_algo_resolved,kv_path,workload,num_ctx,concurrency,prompt_tokens_target,prompt_eval_count,max_tokens,eval_count,generated_tokens,live_kv_tokens_total,ctx_x_conc,epoch,warmup,prefill_tps,decode_tps,ttft_ms_mean,ttft_ms_p95,load_ms,total_ms,wall_ms,peak_vram_bytes,avg_gpu_util,peak_gpu_util,gpu_metrics_available,host_ram_used_bytes,peak_host_ram_bytes,host_metrics_available,processor_state_before,processor_state_after,full_gpu_residency,spilled,gpu_offload_regression,runner_rss_bytes,success,status,error
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,decode-growth,8192,1,2048,2048,4096,4096,4096,6144,8192,1,true,244.2355,15.3748,8690.1492,8690.1492,284.1382,277251.8054,277258.7908,,,,false,3377561600,3386462208,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,decode-growth,8192,1,2048,2048,4096,4096,4096,6144,8192,1,false,38471.4750,15.3579,381.8201,381.8201,307.2015,269233.2835,269238.6672,,,,false,3381440512,3430649856,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,decode-growth,8192,1,2048,2047,4096,4096,4096,6143,8192,2,false,245.7249,15.3549,8633.4901,8633.4901,281.4773,277539.7287,277545.1291,,,,false,3400491008,3434901504,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,decode-growth,8192,1,2048,2047,4096,4096,4096,6143,8192,3,false,245.2486,15.3505,8668.9379,8668.9379,305.8900,277665.7054,277670.9441,,,,false,3406016512,3440443392,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,decode-growth,8192,1,2048,2048,4096,4096,4096,6144,8192,4,false,245.6917,15.3535,8670.0360,8670.0360,318.9746,277559.1239,277564.8534,,,,false,3412144128,3451858944,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,decode-growth,8192,1,2048,2047,4096,4096,4096,6143,8192,5,false,245.0882,15.3409,8667.6314,8667.6314,299.8508,277826.3588,277831.5896,,,,false,3435188224,3461836800,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,decode-growth,8192,1,2048,2047,4096,4096,4096,6143,8192,6,false,243.9152,15.3386,8680.0432,8680.0432,275.9493,277931.1029,277935.7722,,,,false,3442233344,3477766144,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,decode-growth,8192,1,2048,2048,4096,4096,4096,6144,8192,7,false,244.5022,15.3422,8695.9119,8695.9119,308.0250,277892.8401,277897.7670,,,,false,3435974656,3476844544,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,decode-growth,8192,1,2048,2048,4096,4096,4096,6144,8192,8,false,243.9026,15.3364,8668.5809,8668.5809,255.9617,277974.4110,277979.3909,,,,false,3441565696,3479695360,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,dense-fallback,decode-growth,8192,1,2048,2048,4096,4096,4096,6144,8192,1,true,212.6829,25.1048,22532.5439,22532.5439,12837.6290,188003.4681,188009.4739,,,,false,3800518656,3810889728,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,dense-fallback,decode-growth,8192,1,2048,2048,4096,4096,4096,6144,8192,1,false,48536.7486,26.5924,324.6279,324.6279,261.9865,156716.3735,156722.1245,,,,false,3822096384,3848474624,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,dense-fallback,decode-growth,8192,1,2048,2047,4096,4096,4096,6143,8192,2,false,245.5949,27.0586,8627.4883,8627.4883,281.5178,162351.3471,162357.8042,,,,false,3830378496,3841191936,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,dense-fallback,decode-growth,8192,1,2048,2047,4096,4096,4096,6143,8192,3,false,249.0109,27.2829,8531.7606,8531.7606,294.0888,161012.4394,161017.3114,,,,false,3850317824,3877175296,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,dense-fallback,decode-growth,8192,1,2048,2048,4096,4096,4096,6144,8192,4,false,240.1691,27.2893,8845.5089,8845.5089,298.0164,161375.6264,161381.4069,,,,false,3840241664,3862929408,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,dense-fallback,decode-growth,8192,1,2048,2047,4096,4096,4096,6143,8192,5,false,250.2482,27.3780,8466.3290,8466.3290,264.2710,160434.0909,160439.4267,,,,false,3836125184,3881488384,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,dense-fallback,decode-growth,8192,1,2048,2047,4096,4096,4096,6143,8192,6,false,246.7821,27.4535,8624.4602,8624.4602,308.4238,160298.2075,160304.6516,,,,false,3874926592,3890982912,true,unknown,unknown,false,false,false,-1,true,ok,
